GEOID,NAMELSAD,tract_area_sq_mile,transit_stop_count,transit_stops_per_sq_mile,has_transit_access,large_tract_flag
06073013424,Census Tract 134.24,1.1163019578659856,14,12.541409518588992,1,0
06073016403,Census Tract 164.03,2.0740457534576087,5,2.4107472034619195,1,0
06073020812,Census Tract 208.12,2.492168177512315,9,3.6113132657779983,1,0
06073021102,Census Tract 211.02,217.51781999404983,16,0.07355719177600105,1,1
06073010016,Census Tract 100.16,7.399842137525572,7,0.9459661260207268,1,0
06073013316,Census Tract 133.16,1.0323061516305827,10,9.687048734723188,1,0
06073019111,Census Tract 191.11,11.21554232577643,16,1.4265917362932647,1,0
06073019110,Census Tract 191.10,20.676977187808546,18,0.8705334361259086,1,1
06073013315,Census Tract 133.15,0.4885046414266079,2,4.094126913839112,1,0
06073018615,Census Tract 186.15,0.4650410102656617,1,2.1503479863608908,1,0
06073020040,Census Tract 200.40,1.673449509511501,2,1.1951361475995907,1,0
06073013608,Census Tract 136.08,0.4761191154420415,4,8.401258992271913,1,0
06073013607,Census Tract 136.07,0.9792118643508106,8,8.169835651760378,1,0
06073008202,Census Tract 82.02,0.4373112525369576,0,0.0,0,0
06073013422,Census Tract 134.22,2.1892063485867874,0,0.0,0,0
06073017062,Census Tract 170.62,4.881287690814159,0,0.0,0,0
06073020310,Census Tract 203.10,2.1958069955875588,4,1.8216537282365617,1,0
06073017308,Census Tract 173.08,0.48614644858886125,10,20.569933255764862,1,0
06073020311,Census Tract 203.11,5.744546883825938,4,0.6963125344598026,1,0
06073019108,Census Tract 191.08,76.46032200988924,19,0.24849489906075173,1,1
06073013326,Census Tract 133.26,0.597533883093846,7,11.714816846462599,1,0
06073022101,Census Tract 221.01,4.83471319787166,20,4.136750036962773,1,0
06073010019,Census Tract 100.19,1.1743103694428845,1,0.8515636291915052,1,0
06073016703,Census Tract 167.03,0.5993411547749578,0,0.0,0,0
06073017066,Census Tract 170.66,10.182181653334538,0,0.0,0,0
06073016705,Census Tract 167.05,0.5781221525931117,14,24.216335487585688,1,0
06073020312,Census Tract 203.12,5.607232324378591,4,0.7133644137784662,1,0
06073020313,Census Tract 203.13,2.980422126113085,54,18.118238865185198,1,0
06073020034,Census Tract 200.34,0.5416442251220344,5,9.231151682404594,1,0
06073020111,Census Tract 201.11,5.481527041479792,0,0.0,0,0
06073020039,Census Tract 200.39,0.23366150834058408,0,0.0,0,0
06073020044,Census Tract 200.44,3.32668146183063,1,0.3005998655037182,1,0
06073019210,Census Tract 192.10,0.8113783875245213,15,18.487058850266298,1,0
06073020036,Census Tract 200.36,0.30788715551276086,5,16.239716111810218,1,0
06073019305,Census Tract 193.05,0.4967308864662617,4,8.052650054551586,1,0
06073019304,Census Tract 193.04,0.46725509238470375,3,6.42047577200083,1,0
06073019209,Census Tract 192.09,8.545678293783508,5,0.5850910633550545,1,0
06073020813,Census Tract 208.13,5.086048995440131,4,0.7864650937468707,1,0
06073016706,Census Tract 167.06,0.7122667293333211,3,4.211905282741465,1,0
06073016404,Census Tract 164.04,0.2459384451887325,6,24.396348425296484,1,0
06073009109,Census Tract 91.09,0.3294621869220188,3,9.105749063427657,1,0
06073007402,Census Tract 74.02,0.3547396408562883,10,28.189688572332937,1,0
06073016621,Census Tract 166.21,2.339285158354222,0,0.0,0,0
06073016620,Census Tract 166.20,0.35654051830006817,0,0.0,0,0
06073016813,Census Tract 168.13,3.5362121889856883,1,0.2827884602385344,1,0
06073016812,Census Tract 168.12,8.503177231152234,10,1.1760309973740177,1,0
06073016704,Census Tract 167.04,1.807918749314321,8,4.424977617514124,1,0
